question_id,question,option_a,option_b,option_c,option_d,correct_option,difficulty,category,explanation,source,source_url,active,verified_date,content_type
NCQ-001,नेपाली कांग्रेसको प्रारम्भिक स्थापना को सही उत्तर कुन हो?,२००३,२००७,२०१५,२०४६,A,basic,इतिहास,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-002,तलका विकल्पमध्ये नेपाली कांग्रेसको प्रारम्भिक स्थापना सँग मिल्ने तथ्य छान्नुहोस्।,२०१५,२०४६,२००३,२००७,C,basic,इतिहास,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-003,ज्ञान परीक्षण: नेपाली कांग्रेसको प्रारम्भिक स्थापना — सही विकल्प कुन हो?,२००३,२००७,२०१५,२०४६,A,basic,इतिहास,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-004,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, नेपाली कांग्रेसको प्रारम्भिक स्थापना को उत्तर छान्नुहोस्।",२०१५,२०४६,२००३,२००७,C,basic,इतिहास,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-005,चुनौती: नेपाली कांग्रेसको प्रारम्भिक स्थापना — चार विकल्पमध्ये सही उत्तर कुन हो?,२००३,२००७,२०१५,२०४६,A,basic,इतिहास,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-006,पहिलो अधिवेशन भएको स्थान को सही उत्तर कुन हो?,बनारस,जनकपुर,काठमाडौं,"भवानीपुर, कलकत्ता",D,basic,महाधिवेशन,"सही उत्तर: भवानीपुर, कलकत्ता। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-007,तलका विकल्पमध्ये पहिलो अधिवेशन भएको स्थान सँग मिल्ने तथ्य छान्नुहोस्।,काठमाडौं,"भवानीपुर, कलकत्ता",बनारस,जनकपुर,B,basic,महाधिवेशन,"सही उत्तर: भवानीपुर, कलकत्ता। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-008,ज्ञान परीक्षण: पहिलो अधिवेशन भएको स्थान — सही विकल्प कुन हो?,बनारस,जनकपुर,काठमाडौं,"भवानीपुर, कलकत्ता",D,basic,महाधिवेशन,"सही उत्तर: भवानीपुर, कलकत्ता। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-009,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, पहिलो अधिवेशन भएको स्थान को उत्तर छान्नुहोस्।",काठमाडौं,"भवानीपुर, कलकत्ता",बनारस,जनकपुर,B,basic,महाधिवेशन,"सही उत्तर: भवानीपुर, कलकत्ता। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-010,चुनौती: पहिलो अधिवेशन भएको स्थान — चार विकल्पमध्ये सही उत्तर कुन हो?,बनारस,जनकपुर,काठमाडौं,"भवानीपुर, कलकत्ता",D,basic,महाधिवेशन,"सही उत्तर: भवानीपुर, कलकत्ता। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-011,पहिलो अधिवेशन भएको वर्ष को सही उत्तर कुन हो?,२००५,२००९,२००३,२००४,C,basic,महाधिवेशन,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-012,तलका विकल्पमध्ये पहिलो अधिवेशन भएको वर्ष सँग मिल्ने तथ्य छान्नुहोस्।,२००३,२००४,२००५,२००९,A,basic,महाधिवेशन,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-013,ज्ञान परीक्षण: पहिलो अधिवेशन भएको वर्ष — सही विकल्प कुन हो?,२००५,२००९,२००३,२००४,C,basic,महाधिवेशन,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-014,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, पहिलो अधिवेशन भएको वर्ष को उत्तर छान्नुहोस्।",२००३,२००४,२००५,२००९,A,basic,महाधिवेशन,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-015,चुनौती: पहिलो अधिवेशन भएको वर्ष — चार विकल्पमध्ये सही उत्तर कुन हो?,२००५,२००९,२००३,२००४,C,basic,महाधिवेशन,सही उत्तर: २००३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — महाधिवेशन,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-016,नेपाली डेमोक्रेटिक कांग्रेससँग एकीकरण भएको मिति को सही उत्तर कुन हो?,२०१५ असार १,२००६ चैत २७,२००३ माघ १२,२००७ फागुन ७,B,basic,इतिहास,सही उत्तर: २००६ चैत २७। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-017,तलका विकल्पमध्ये नेपाली डेमोक्रेटिक कांग्रेससँग एकीकरण भएको मिति सँग मिल्ने तथ्य छान्नुहोस्।,२००३ माघ १२,२००७ फागुन ७,२०१५ असार १,२००६ चैत २७,D,basic,इतिहास,सही उत्तर: २००६ चैत २७। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-018,ज्ञान परीक्षण: नेपाली डेमोक्रेटिक कांग्रेससँग एकीकरण भएको मिति — सही विकल्प कुन हो?,२०१५ असार १,२००६ चैत २७,२००३ माघ १२,२००७ फागुन ७,B,basic,इतिहास,सही उत्तर: २००६ चैत २७। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-019,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, नेपाली डेमोक्रेटिक कांग्रेससँग एकीकरण भएको मिति को उत्तर छान्नुहोस्।",२००३ माघ १२,२००७ फागुन ७,२०१५ असार १,२००६ चैत २७,D,basic,इतिहास,सही उत्तर: २००६ चैत २७। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-020,चुनौती: नेपाली डेमोक्रेटिक कांग्रेससँग एकीकरण भएको मिति — चार विकल्पमध्ये सही उत्तर कुन हो?,२०१५ असार १,२००६ चैत २७,२००३ माघ १२,२००७ फागुन ७,B,basic,इतिहास,सही उत्तर: २००६ चैत २७। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-021,बी.पी. को पूरा नाम को सही उत्तर कुन हो?,विश्वेश्वरप्रसाद कोइराला,गणेशप्रसाद कोइराला,कृष्णप्रसाद कोइराला,बालकृष्णप्रसाद कोइराला,A,basic,नेता,सही उत्तर: विश्वेश्वरप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — नेता,https://nepalicongress.org/leader/bp-koirala/,True,2026-09-25,mcq
NCQ-022,तलका विकल्पमध्ये बी.पी. को पूरा नाम सँग मिल्ने तथ्य छान्नुहोस्।,कृष्णप्रसाद कोइराला,बालकृष्णप्रसाद कोइराला,विश्वेश्वरप्रसाद कोइराला,गणेशप्रसाद कोइराला,C,basic,नेता,सही उत्तर: विश्वेश्वरप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — नेता,https://nepalicongress.org/leader/bp-koirala/,True,2026-09-25,mcq
